ticker;sector
VEON-RX;Связь и телекоммуникация
ABRD;Производство продуктов и напитков
AVAN;Банки
PRMB;Банки
AKRN;Удобрения
KLVZ;Холдинги
ALRS;Добыча прочих полезных ископаемых
APRI;Строительство зданий
APTK;FMCG ретейл
ABIO;Производство лекарств и биотехнологии
ACKO;Страхование и перестрахование
ASSB;Электроэнергетика
AFKS;Холдинги
AMEZ;Черная металлургия
AFLT;Воздушный транспорт
VTBR;Банки
KUZB;Банки
BSPB;Банки
USBN;Банки
BANE;Нефтегазовая отрасль
BLNG;Добыча угля
BRZL;Добыча драгоценных металлов
VJGZ;Нефтегазовая отрасль
VSEH;Холдинги
VGSB;Электроэнергетика
VSMO;Цветная металлургия
WUSH;Холдинги
VLHZ;Химическая и нефтехимическая промышленность
VSYD;Прочее машиностроение и приборостроение
GAZA;Производство автотранспорта
GAZS;Финансовые рынки
GAZT;Финансовые рынки
GAZC;Прочие финансовые институты
RTGZ;Снабжение водой, теплом, газом
SIBN;Нефтегазовая отрасль
GAZP;Нефтегазовая отрасль
BAZA;ИТ сервисы и программное обеспечение
GLRX;Недвижимость и фонды недвижимости
GMKN;Цветная металлургия
DATA;ИТ сервисы и программное обеспечение
ASTR;ИТ сервисы и программное обеспечение
SMLT;Строительство зданий
LSRG;Строительство зданий
POSI;ИТ сервисы и программное обеспечение
RAGR;АПК и сельское хозяйство
GCHE;Производство продуктов и напитков
GTRK;Перевозки сухопутным транспортом
FESH;Водный транспорт
DIAS;Холдинги
DIOD;Производство лекарств и биотехнологии
DOMRF;Институты развития и государственные агентства
DZRD;Прочее машиностроение и приборостроение
DVEC;Электроэнергетика
;Черная металлургия
EELT;Прочее машиностроение и приборостроение
EUTR;Специализированная розничная торговля
ZAYM;Микрофинансирование
ZILL;Производство автотранспорта
IGST;Черная металлургия
RUSI;Финансовые рынки
AQUA;Производство продуктов и напитков
KFBA;Строительство зданий
IRAO;Электроэнергетика
KZOS;Химическая и нефтехимическая промышленность
KLSB;Электроэнергетика
KMAZ;Производство автотранспорта
KCHE;Электроэнергетика
DELI;Лизинг и аренда
KMEZ;Прочее машиностроение и приборостроение
X5;FMCG ретейл
KOGK;Черная металлургия
KRSB;Электроэнергетика
KROT;Производство продуктов и напитков
KAZT;Химическая и нефтехимическая промышленность
KGKC;Электроэнергетика
LMBZ;Целлюлозно-бумажная и деревообрабатывающая
LVHK;Прочее машиностроение и приборостроение
LNZL;Добыча драгоценных металлов
LPSB;Электроэнергетика
LEAS;Лизинг и аренда
LKOH;Нефтегазовая отрасль
MVID;Специализированная розничная торговля
MAGE;Электроэнергетика
MGNT;FMCG ретейл
MGKL;Другие отрасли
MGTS;Связь и телекоммуникация
MDMG;Медицинские услуги
MTLR;Черная металлургия
VKCO;Холдинги
LENT;FMCG ретейл
OZON;Онлайн-ретейл
HEAD;Холдинги
GEMC;Холдинги
YDEX;Холдинги
MAGN;Черная металлургия
GEMA;Производство лекарств и биотехнологии
MRSB;Электроэнергетика
MOEX;Финансовые рынки
CBOM;Банки
MSTT;Строительство сооружений
MSNG;Электроэнергетика
MTSS;Связь и телекоммуникация
MBNK;Банки
NSVZ;Связь и телекоммуникация
NFAZ;Производство автотранспорта
NKSH;Производство автотранспорта
NKNC;Химическая и нефтехимическая промышленность
NLMK;Черная металлургия
BELU;Производство продуктов и напитков
NVTK;Нефтегазовая отрасль
NKHP;АПК и сельское хозяйство
NMTP;Вспомогательная транспортная деятельность
UWGN;Прочее машиностроение и приборостроение
NAUK;Производство летательных аппаратов и вооружения
UNAC;Производство летательных аппаратов и вооружения
OGKB;Электроэнергетика
OZPH;Производство лекарств и биотехнологии
PAZA;Производство автотранспорта
ZVEZ;Прочее машиностроение и приборостроение
IVAT;ИТ сервисы и программное обеспечение
PRMD;Производство лекарств и биотехнологии
PMSB;Электроэнергетика
PIKK;Строительство зданий
PLZL;Добыча драгоценных металлов
RASP;Добыча угля
RBCM;Медиа
RENI;Страхование и перестрахование
RKKE;Производство летательных аппаратов и вооружения
CHGZ;Профессиональные услуги
RGSS;Страхование и перестрахование
RDRB;Банки
ROST;Общественное питание
ROSN;Нефтегазовая отрасль
MRKV;Электроэнергетика
LSNG;Электроэнергетика
MSRS;Электроэнергетика
MRKK;Электроэнергетика
MRKZ;Электроэнергетика
MRKS;Электроэнергетика
TORS;Электроэнергетика
MRKU;Электроэнергетика
MRKP;Электроэнергетика
MRKC;Электроэнергетика
MRKY;Электроэнергетика
FEES;Электроэнергетика
RTKM;Связь и телекоммуникация
RUAL;Цветная металлургия
HYDR;Электроэнергетика
ROLO;Цветная металлургия
RNFT;Нефтегазовая отрасль
RZSB;Электроэнергетика
SAGO;Электроэнергетика
KRKN;Нефтегазовая отрасль
SARE;Электроэнергетика
SLEN;Электроэнергетика
SBER;Банки
SVET;Образование
CHMF;Черная металлургия
SGZH;Целлюлозно-бумажная и деревообрабатывающая
SELG;Добыча драгоценных металлов
MFGS;Нефтегазовая отрасль
JNOS;Нефтегазовая отрасль
CARM;Финансовые рынки
MGNZ;Химическая и нефтехимическая промышленность
SVCB;Банки
FLOT;Водный транспорт
SVAV;Производство автотранспорта
SOFL;ИТ сервисы и программное обеспечение
STSB;Электроэнергетика
SNGS;Нефтегазовая отрасль
T;Холдинги
TASB;Электроэнергетика
TATN;Нефтегазовая отрасль
TTLK;Связь и телекоммуникация
TGKA;Электроэнергетика
TGKN;Электроэнергетика
TGKB;Электроэнергетика
PRFN;Производство строительных материалов
TUZA;Производство автотранспорта
TRMK;Черная металлургия
VRSB;Электроэнергетика
KBSB;Электроэнергетика
MISB;Электроэнергетика
NNSB;Электроэнергетика
RTSB;Электроэнергетика
YRSB;Электроэнергетика
TNSE;Электроэнергетика
ARSA;Финансовые рынки
URKZ;Черная металлургия
LIFE;Производство лекарств и биотехнологии
FIXR;Холдинги
PHOR;Удобрения
HNFG;Холдинги
GECO;Медицинские услуги
CNTL;Связь и телекоммуникация
CNRU;Холдинги
WTCM;Недвижимость и фонды недвижимости
CHKZ;Производство автотранспорта
CHMK;Черная металлургия
ELFV;Электроэнергетика
ENPG;Холдинги
SFIN;Холдинги
ETLN;Холдинги
UNKL;Цветная металлургия
UKUZ;Добыча угля
UGLD;Добыча драгоценных металлов
UPRO;Электроэнергетика
UTAR;Воздушный транспорт
IRKT;Производство летательных аппаратов и вооружения
YKEN;Электроэнергетика
YAKG;Нефтегазовая отрасль
