Бумага,ISIN,Эмитент,Отрасль,Рейтинг эмитента АКРА,rating_score,"Индикативная доходность, %",dur_years,Ликвидность,score
"Sber CIB, CIB-СО-548",RU000A106JR6,Sber CIB,Финансовые рынки,AAA(RU),6.0,32.178,2.506849315068493,4.0,42.900000000000006
"РЖД, 001P-41R",RU000A10B495,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.684,2.3881369863013697,7.0,49.300000000000004
"РЖД, 001Р-42R",RU000A10BGF2,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.635,2.4384931506849314,7.0,51.300000000000004
"РЖД, 30",RU000A0JUAH8,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.65,2.201068493150685,7.0,52.2
"МТС, 002Р-07",RU000A10B1N3,МТС,Связь и телекоммуникация,AAA(RU),6.0,16.077,0.9318082191780822,7.0,52.7
"РЖД, 001Р-50R",RU000A10DZW3,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.463,2.853397260273973,7.0,55.2
"МБЭС, 002P-04",RU000A10CC99,МБЭС,Банки,AAA(RU),6.0,15.624,2.0453698630136983,7.0,55.50000000000001
"РЖД, 001Р-45R",RU000A10CDZ5,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.369,2.6591780821917808,7.0,59.400000000000006
"МТС, 002P-11",RU000A10BP79,МТС,Связь и телекоммуникация,AAA(RU),6.0,15.992,0.692082191780822,7.0,60.400000000000006
"Россети, 001P-04R",RU000A101CL5,Россети,Электроэнергетика,AAA(RU),6.0,15.309,3.359835616438356,7.0,61.50000000000001
"РЖД, 001Р-21R",RU000A102QP4,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.63,1.232986301369863,7.0,61.800000000000004
"РЖД, 001Р-37R",RU000A10AZ45,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.406,2.015753424657534,7.0,63.0
"Sber CIB, CIB-СО-551",RU000A0NR888,Sber CIB,Финансовые рынки,AAA(RU),6.0,18.023,4.6,4.0,63.1
"Банк ВТБ (ПАО), Б-1-245",RU000A103U02,Банк ВТБ (ПАО),Банки,AAA(RU),6.0,25.346,0.704082191780822,4.0,64.0
"Сбербанк России, ИОС-BSK_FIX_MEM-5Y-001Р-488R",RU000A1040T6,Сбербанк России,Банки,AAA(RU),6.0,20.23,0.7753424657534247,4.0,65.60000000000001
"Атомэнергопром, 001P-10",RU000A10DYG9,Атомэнергопром,Электроэнергетика,AAA(RU),6.0,15.209,3.667041095890411,7.0,68.8
"РЖД, 41",RU000A0JX1S1,РЖД,Железнодорожный транспорт,AAA(RU),6.0,16.344,0.7216712328767124,6.0,69.4
"МТС, 001Р-29",RU000A10CQ85,МТС,Связь и телекоммуникация,AAA(RU),6.0,15.555,0.9607397260273973,7.0,69.60000000000001
"Атомэнергопром, 001P-09",RU000A10DPS2,Атомэнергопром,Электроэнергетика,AAA(RU),6.0,15.166,3.615917808219178,7.0,71.4
"РЖД, ЗО28-3-P",RU000A1089U1,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.585,2.239178082191781,6.0,71.8
"Атомэнергопром, 001P-05",RU000A10BFG2,Атомэнергопром,Электроэнергетика,AAA(RU),6.0,15.069,3.02786301369863,7.0,72.2
"Атомэнергопром, 001P-08",RU000A10CT33,Атомэнергопром,Электроэнергетика,AAA(RU),6.0,15.063,3.3223835616438357,7.0,74.2
"Газпром Нефть, 003P-02R",RU000A1017J5,Газпром Нефть,Нефтегазовая отрасль,AAA(RU),6.0,15.029,3.2174246575342464,7.0,74.3
"РусГидро, БО-002Р-07",RU000A10CC24,РусГидро,Электроэнергетика,AAA(RU),6.0,15.142,2.0463013698630137,7.0,74.60000000000001
"Сбербанк России, ИОС-BSK_FIX_MEM-5Y-001Р-468R",RU000A103P25,Сбербанк России,Банки,AAA(RU),6.0,22.172,0.6027397260273972,3.0,77.0
"Роснефть, 002P-04",RU000A0ZYT40,Роснефть,Нефтегазовая отрасль,AAA(RU),6.0,15.364,0.9298904109589041,7.0,77.30000000000001
"Сбербанк России, ИОС_PRT_GAZP-5Y-001Р-492R",RU000A1043H5,Сбербанк России,Банки,AAA(RU),6.0,19.267,0.7479452054794521,3.0,77.60000000000001
