Бумага,ISIN,Эмитент,Отрасль,Рейтинг эмитента АКРА,rating_score,"Индикативная доходность, %",dur_years,Ликвидность,score
"Sber CIB, CIB-СО-548",RU000A106JR6,Sber CIB,Финансовые рынки,AAA(RU),6.0,32.178,2.506849315068493,4.0,42.900000000000006
"РЖД, 001P-41R",RU000A10B495,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.684,2.3881369863013697,7.0,49.300000000000004
"МТС, 002Р-07",RU000A10B1N3,МТС,Связь и телекоммуникация,AAA(RU),6.0,16.077,0.9318082191780822,7.0,52.7
"МБЭС, 002P-04",RU000A10CC99,МБЭС,Банки,AAA(RU),6.0,15.624,2.0453698630136983,7.0,55.50000000000001
"Россети, 001P-04R",RU000A101CL5,Россети,Электроэнергетика,AAA(RU),6.0,15.309,3.359835616438356,7.0,61.50000000000001
"Банк ВТБ (ПАО), Б-1-245",RU000A103U02,Банк ВТБ (ПАО),Банки,AAA(RU),6.0,25.346,0.704082191780822,4.0,64.0
"Атомэнергопром, 001P-10",RU000A10DYG9,Атомэнергопром,Электроэнергетика,AAA(RU),6.0,15.209,3.667041095890411,7.0,68.8
"Газпром Нефть, 003P-02R",RU000A1017J5,Газпром Нефть,Нефтегазовая отрасль,AAA(RU),6.0,15.029,3.2174246575342464,7.0,74.3
"Роснефть, 002P-04",RU000A0ZYT40,Роснефть,Нефтегазовая отрасль,AAA(RU),6.0,15.364,0.9298904109589041,7.0,77.30000000000001
"АФК Система, 001P-11",RU000A100N12,АФК Система,Холдинги,AA-(RU),3.0,20.592,1.3153424657534247,7.0,81.0
