Бумага,ISIN,Эмитент,Отрасль,Рейтинг эмитента АКРА,rating_score,"Индикативная доходность, %",dur_years,Ликвидность,score
"Sber CIB, CIB-СО-548",RU000A106JR6,Sber CIB,Финансовые рынки,AAA(RU),6.0,32.178,2.506849315068493,4.0,42.900000000000006
"РЖД, 001P-41R",RU000A10B495,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.684,2.3881369863013697,7.0,49.300000000000004
"МТС, 002Р-07",RU000A10B1N3,МТС,Связь и телекоммуникация,AAA(RU),6.0,16.077,0.9318082191780822,7.0,52.7
"МБЭС, 002P-04",RU000A10CC99,МБЭС,Банки,AAA(RU),6.0,15.624,2.0453698630136983,7.0,55.50000000000001
"Россети, 001P-04R",RU000A101CL5,Россети,Электроэнергетика,AAA(RU),6.0,15.309,3.359835616438356,7.0,61.50000000000001
"Банк ВТБ (ПАО), Б-1-245",RU000A103U02,Банк ВТБ (ПАО),Банки,AAA(RU),6.0,25.346,0.704082191780822,4.0,64.0
"Атомэнергопром, 001P-10",RU000A10DYG9,Атомэнергопром,Электроэнергетика,AAA(RU),6.0,15.209,3.667041095890411,7.0,68.8
"Газпром Нефть, 003P-02R",RU000A1017J5,Газпром Нефть,Нефтегазовая отрасль,AAA(RU),6.0,15.029,3.2174246575342464,7.0,74.3
"Роснефть, 002P-04",RU000A0ZYT40,Роснефть,Нефтегазовая отрасль,AAA(RU),6.0,15.364,0.9298904109589041,7.0,77.30000000000001
"АФК Система, 001P-11",RU000A100N12,АФК Система,Холдинги,AA-(RU),3.0,20.592,1.3153424657534247,7.0,81.0
"ВЭБ.РФ, ПБО-001Р-19",RU000A101TB0,ВЭБ.РФ,Институты развития и государственные агентства,AAA(RU),6.0,15.091,1.2322191780821918,7.0,85.10000000000001
"Балтийский лизинг, БО-П15",RU000A10ATW2,Балтийский лизинг,Лизинг и аренда,AA-(RU),3.0,22.21,0.9569589041095891,7.0,85.2
"СИБУР Холдинг, 001Р-07",RU000A10C8T4,СИБУР Холдинг,Химическая и нефтехимическая промышленность,AAA(RU),6.0,14.751,2.4415068493150685,7.0,86.4
"Магнит, БО-004Р-09",RU000A10CL07,Магнит,FMCG ретейл,AAA(RU),6.0,14.981,1.3392602739726027,7.0,89.4
"Ростелеком, 001P-19R",RU000A10CMD3,Ростелеком,Связь и телекоммуникация,AAA(RU),6.0,14.921,1.47372602739726,7.0,89.4
"МКПАО Яндекс, 001Р-02",RU000A10CMT9,МКПАО Яндекс,Холдинги,AAA(RU),6.0,14.821,1.746931506849315,7.0,89.6
"НКНХ, 001P-01",RU000A0ZZZ17,НКНХ,Химическая и нефтехимическая промышленность,AAA(RU),6.0,15.095,2.292082191780822,6.0,91.5
"ГТЛК, 002P-09",RU000A10C6F7,ГТЛК,Лизинг и аренда,AA-(RU),3.0,17.17,2.032904109589041,7.0,92.4
"МОЭК, 001Р-05",RU000A105NK5,МОЭК,"Снабжение водой, теплом, газом",AAA(RU),6.0,15.941,0.7798356164383561,4.0,98.3
"Почта России, 003Р-01",RU000A10D3J5,Почта России,Почтовая и курьерская служба,AA(RU),4.0,17.337,1.7631232876712328,6.0,99.69999999999999
"Рольф, 001P-08",RU000A10BQ60,Рольф,Специализированная розничная торговля,A(RU),1.0,24.353,1.07413698630137,7.0,99.8
"КАМАЗ, БО-П18",RU000A10DP93,КАМАЗ,Производство автотранспорта,AA-(RU),3.0,16.688,1.5036712328767123,7.0,100.80000000000001
"Группа Позитив, 001P-03",RU000A10BWC6,Группа Позитив,ИТ сервисы и программное обеспечение,AA-(RU),3.0,16.077,1.7868493150684932,7.0,105.8
"А101, БО-001P-02",RU000A10DZU7,А101,Строительство зданий,A+(RU),2.0,17.42,1.562821917808219,7.0,107.3
"ГК Азот, 001Р-01",RU000A10E291,ГК Азот,Удобрения,A+(RU),2.0,17.133,1.5715616438356164,7.0,110.30000000000001
"Группа ЛСР, 001P-11",RU000A10CKY3,Группа ЛСР,Строительство зданий,A(RU),1.0,17.079,1.7203013698630136,7.0,113.10000000000001
"ФПК, 002Р-01",RU000A10DYC8,ФПК,Железнодорожный транспорт,AA+(RU),5.0,15.218,1.9402465753424658,7.0,114.30000000000001
"Селектел, 001Р-06R",RU000A10CU89,Селектел,ИТ сервисы и программное обеспечение,A+(RU),2.0,15.888,1.7649041095890412,7.0,126.2
"Синара-Транспортные Машины, 001Р-03",RU000A105M91,Синара-Транспортные Машины,Прочее машиностроение и приборостроение,A(RU),1.0,18.202,1.5052876712328767,5.0,132.20000000000002
"Инарктика, 002Р-01",RU000A107W48,Инарктика,Производство продуктов и напитков,A+(RU),2.0,16.049,0.9468493150684932,7.0,132.3
