Бумага,ISIN,"Индикативная доходность, %",dur_years,Ликвидность,"Индикативная цена, %","Текущий купон, %"
"Россия, 26219 (ОФЗ-ПД, SU26219RMFS4)",RU000A0JWM07,14.174,0.5316164383561643,8.0,96.93,7.75
"Россия, 26226 (ОФЗ-ПД, SU26226RMFS9)",RU000A0ZZYW2,14.296,0.5886849315068493,8.0,96.66,7.95
"Россия, 26207 (ОФЗ-ПД, SU26207RMFS9)",RU000A0JS3W6,13.767,0.9143013698630138,7.0,95.58,8.15
"Россия, 26232 (ОФЗ-ПД, SU26232RMFS7)",RU000A1014N4,13.975,1.5133150684931507,7.0,89.45,6.0
"Россия, 26212 (ОФЗ-ПД, SU26212RMFS9)",RU000A0JTK38,14.049,1.786986301369863,7.0,89.38,7.05
"Россия, 26236 (ОФЗ-ПД, SU26236RMFS8)",RU000A102BT8,14.175,2.0702739726027395,8.0,85.09,5.7
"Россия, 26237 (ОФЗ-ПД, SU26237RMFS6)",RU000A1038Z7,14.167,2.6803561643835616,7.0,83.04,6.7
"Россия, 26224 (ОФЗ-ПД, SU26224RMFS4)",RU000A0ZYUA9,14.167,2.863753424657534,8.0,82.67,6.9
"Россия, 26242 (ОФЗ-ПД, SU26242RMFS6)",RU000A105RV3,14.165,2.9021643835616437,7.0,87.27,9.0
"Россия, 26228 (ОФЗ-ПД, SU26228RMFS5)",RU000A100A82,14.355,3.4245753424657535,8.0,80.94,7.65
"Россия, 26251 (ОФЗ-ПД, SU26251RMFS7)",RU000A10CKT3,14.3,3.502164383561644,7.0,85.86,9.5
"Россия, 26235 (ОФЗ-ПД, SU26235RMFS0)",RU000A1028E3,14.34,4.145972602739726,7.0,71.8,5.9
"Россия, 26218 (ОФЗ-ПД, SU26218RMFS6)",RU000A0JVW48,14.614,4.1995068493150685,7.0,78.84,8.5
"Россия, 26239 (ОФЗ-ПД, SU26239RMFS2)",RU000A103901,14.536,4.407534246575342,7.0,73.56,6.9
"Россия, 26249 (ОФЗ-ПД, SU26249RMFS1)",RU000A10BVC8,14.663,4.483643835616438,8.0,87.06,11.0
"Россия, 26241 (ОФЗ-ПД, SU26241RMFS8)",RU000A105FZ9,14.673,4.766191780821918,8.0,80.12,9.5
"Россия, 26252 (ОФЗ-ПД, SU26252RMFS5)",RU000A10D4Y2,14.758,4.791780821917809,7.0,91.98,12.5
"Россия, 26244 (ОФЗ-ПД, SU26244RMFS2)",RU000A1074G2,14.747,5.00268493150685,7.0,85.93,11.25
"Россия, 26221 (ОФЗ-ПД, SU26221RMFS0)",RU000A0JXFM1,14.695,5.044301369863014,7.0,71.59,7.7
"Россия, 26245 (ОФЗ-ПД, SU26245RMFS9)",RU000A108EG6,14.755,5.420849315068493,8.0,88.42,12.0
"Россия, 26246 (ОФЗ-ПД, SU26246RMFS7)",RU000A108EE1,14.755,5.512164383561644,8.0,88.17,12.0
"Россия, 26225 (ОФЗ-ПД, SU26225RMFS1)",RU000A0ZYUB7,14.721,5.6679726027397255,7.0,66.86,7.25
"Россия, 26250 (ОФЗ-ПД, SU26250RMFS9)",RU000A10BVH7,14.785,5.989232876712329,7.0,87.39,12.0
"Россия, 26253 (ОФЗ-ПД, SU26253RMFS3)",RU000A10D517,14.789,6.005506849315069,6.0,92.57,13.0
"Россия, 26247 (ОФЗ-ПД, SU26247RMFS5)",RU000A108EF8,14.671,6.277506849315069,7.0,88.63,12.25
"Россия, 26254 (ОФЗ-ПД, SU26254RMFS1)",RU000A10D533,14.753,6.309945205479452,6.0,92.38,13.0
"Россия, 26243 (ОФЗ-ПД, SU26243RMFS4)",RU000A106E90,14.696,6.415342465753424,7.0,74.8,9.8
"Россия, 26248 (ОФЗ-ПД, SU26248RMFS3)",RU000A108EH4,14.608,6.458630136986302,7.0,88.67,12.25
"Россия, 26233 (ОФЗ-ПД, SU26233RMFS5)",RU000A101F94,14.483,6.484657534246575,7.0,59.42,6.1
"Россия, 26240 (ОФЗ-ПД, SU26240RMFS0)",RU000A103BR0,14.297,6.682986301369863,7.0,62.89,7.0
"Россия, 26230 (ОФЗ-ПД, SU26230RMFS1)",RU000A100EF5,14.231,6.875068493150685,7.0,63.7,7.7
"Россия, 26238 (ОФЗ-ПД, SU26238RMFS4)",RU000A1038V6,13.734,7.598876712328767,7.0,59.96,7.1
