Бумага,ISIN,тип,"Вес, %","YTM, %","Дюрация, лет",Ликвидность
"Банк ВТБ (ПАО), Б-1-245",RU000A103U02,Корпоратив,9.999999999999996,25.346,0.704082191780822,4.0
"Атомэнергопром, 001P-10",RU000A10DYG9,Корпоратив,9.999999999999996,15.209,3.667041095890411,7.0
"Балтийский лизинг, БО-П15",RU000A10ATW2,Корпоратив,9.999999999999996,22.21,0.9569589041095892,7.0
"Рольф, 001P-08",RU000A10BQ60,Корпоратив,9.999999999999996,24.353,1.07413698630137,7.0
"Sber CIB, CIB-СО-548",RU000A106JR6,Корпоратив,9.999999999999993,32.178,2.506849315068493,4.0
"Россети, 001P-04R",RU000A101CL5,Корпоратив,7.948515222984587,15.309,3.359835616438356,7.0
"АФК Система, 001P-11",RU000A100N12,Корпоратив,7.05148477701541,20.592,1.3153424657534247,7.0
"РЖД, 001P-41R",RU000A10B495,Корпоратив,0.0,15.684,2.3881369863013697,7.0
"МТС, 002Р-07",RU000A10B1N3,Корпоратив,0.0,16.077,0.9318082191780822,7.0
"МБЭС, 002P-04",RU000A10CC99,Корпоратив,0.0,15.624,2.0453698630136983,7.0
"Газпром Нефть, 003P-02R",RU000A1017J5,Корпоратив,0.0,15.029,3.2174246575342464,7.0
"Роснефть, 002P-04",RU000A0ZYT40,Корпоратив,0.0,15.364,0.929890410958904,7.0
"ВЭБ.РФ, ПБО-001Р-19",RU000A101TB0,Корпоратив,0.0,15.091,1.2322191780821918,7.0
"СИБУР Холдинг, 001Р-07",RU000A10C8T4,Корпоратив,0.0,14.751,2.4415068493150685,7.0
"Магнит, БО-004Р-09",RU000A10CL07,Корпоратив,0.0,14.981,1.3392602739726027,7.0
"Ростелеком, 001P-19R",RU000A10CMD3,Корпоратив,0.0,14.921,1.47372602739726,7.0
"МКПАО Яндекс, 001Р-02",RU000A10CMT9,Корпоратив,0.0,14.821,1.746931506849315,7.0
"НКНХ, 001P-01",RU000A0ZZZ17,Корпоратив,0.0,15.095,2.292082191780822,6.0
"ГТЛК, 002P-09",RU000A10C6F7,Корпоратив,0.0,17.17,2.032904109589041,7.0
"МОЭК, 001Р-05",RU000A105NK5,Корпоратив,0.0,15.941,0.7798356164383561,4.0
"Почта России, 003Р-01",RU000A10D3J5,Корпоратив,0.0,17.337,1.7631232876712328,6.0
"КАМАЗ, БО-П18",RU000A10DP93,Корпоратив,0.0,16.688,1.5036712328767123,7.0
"Группа Позитив, 001P-03",RU000A10BWC6,Корпоратив,0.0,16.077,1.7868493150684932,7.0
"А101, БО-001P-02",RU000A10DZU7,Корпоратив,0.0,17.42,1.562821917808219,7.0
"ГК Азот, 001Р-01",RU000A10E291,Корпоратив,0.0,17.133,1.5715616438356164,7.0
"Группа ЛСР, 001P-11",RU000A10CKY3,Корпоратив,0.0,17.079,1.7203013698630136,7.0
"ФПК, 002Р-01",RU000A10DYC8,Корпоратив,0.0,15.218,1.9402465753424656,7.0
"Селектел, 001Р-06R",RU000A10CU89,Корпоратив,0.0,15.888,1.7649041095890412,7.0
"Синара-Транспортные Машины, 001Р-03",RU000A105M91,Корпоратив,0.0,18.202,1.5052876712328769,5.0
"Инарктика, 002Р-01",RU000A107W48,Корпоратив,0.0,16.049,0.9468493150684932,7.0
"Россия, 26241 (ОФЗ-ПД, SU26241RMFS8)",RU000A105FZ9,ОФЗ,14.999999999999995,14.673,4.766191780821918,8.0
"Россия, 26245 (ОФЗ-ПД, SU26245RMFS9)",RU000A108EG6,ОФЗ,14.999999999999995,14.755,5.420849315068493,8.0
"Россия, 26228 (ОФЗ-ПД, SU26228RMFS5)",RU000A100A82,ОФЗ,5.000000000000041,14.355,3.424575342465753,8.0
"Россия, 26219 (ОФЗ-ПД, SU26219RMFS4)",RU000A0JWM07,ОФЗ,0.0,14.174,0.5316164383561643,8.0
"Россия, 26226 (ОФЗ-ПД, SU26226RMFS9)",RU000A0ZZYW2,ОФЗ,0.0,14.296,0.5886849315068493,8.0
"Россия, 26224 (ОФЗ-ПД, SU26224RMFS4)",RU000A0ZYUA9,ОФЗ,0.0,14.167,2.863753424657534,8.0
