Бумага,ISIN,"Текущий купон, %","Индикативная цена, %","Индикативная доходность, %","G-spread, бп",Ликвидность,Уровень ликвидности,"Δ индикатив. цены за 1 день, %","Δ индикатив. цены за 1 неделю, %","Δ индикатив. цены за 1 месяц, %","Δ индикатив. цены за 3 месяца, %","Дюрация, дней",Модифицированная дюрация,Оферта (call),"Срок до погашения, лет",Погашение,Страна,Эмитент,SPV,Сектор,Отрасль,Валюта,Статус,Купон,Периодичность купона,Тип ставки,Вид облигации,Непогаш. ном.,Рейтинг эмитента АКРА,Рейтинг эмитента Эксперт РА,Рейтинг эмитента НКР,Рейтинг эмитента НРА,Начало размещения,Окончание размещения,Дата торгов
"Sber CIB, 14.5% 27nov2026, RUB (ЦФА)",,"14,500",,,,,,,,,,,,,,27.11.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,14.5% годовых (расч.),,Фиксированная,Процент при погашении,"34 500 000,000000",AAA(RU),ruAAA,,,26.02.2026,26.02.2026,
"Sber CIB, 14.85% 19aug2026, RUB (ЦФА)",,"14,850",,,,,,,,,,,,,,19.08.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,14.85% годовых (расч.),,Фиксированная,Процент при погашении,"10 000 000,000000",AAA(RU),ruAAA,,,17.02.2026,17.02.2026,
"Sber CIB, 15.05% 6mar2026, RUB (ЦФА)",,"15,050",,,,,,,,,,,,,,06.03.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,15.05% годовых (расч.),,Фиксированная,Процент при погашении,"500 000 000,000000",AAA(RU),ruAAA,,,27.02.2026,27.02.2026,
"Sber CIB, 15.1% 2mar2026, RUB (ЦФА)",,"15,100",,,,,,,,,,,,,,02.03.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,15.1% годовых (расч.),,Фиксированная,Процент при погашении,"1 012 000 000,000000",AAA(RU),ruAAA,,,16.02.2026,16.02.2026,
"Sber CIB, 15.3% 25mar2026, RUB (ЦФА)",,"15,300",,,,,,,,,,,,,,25.03.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,15.3% годовых (расч.),,Фиксированная,Процент при погашении,"500 000 000,000000",AAA(RU),ruAAA,,,16.02.2026,16.02.2026,
"Sber CIB, 15.4% 26jan2027, RUB (ЦФА)",,"15,400",,,,,,,,,,,,,,26.01.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,15.4% годовых (расч.),,Фиксированная,Процент при погашении,"2 500 000 000,000000",AAA(RU),ruAAA,,,26.01.2026,26.01.2026,
"Sber CIB, 15.4% 26jan2027, RUB (ЦФА)",,"15,400",,,,,,,,,,,,,,26.01.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,15.4% годовых,,Фиксированная,Процент при погашении,"2 680 000 000,000000",AAA(RU),ruAAA,,,26.01.2026,26.01.2026,
"Sber CIB, 15.6% 23sep2026, RUB (ЦФА)",,"15,600",,,,,,,,,,,,,,23.09.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,15.6% годовых,,Фиксированная,Процент при погашении,"65 000 000,000000",AAA(RU),ruAAA,,,23.01.2026,23.01.2026,
"Sber CIB, 15.7% 4aug2026, RUB (ЦФА)",,"15,700",,,,,,,,,,,,,,04.08.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,15.7% годовых,,Фиксированная,Процент при погашении,"25 000 000,000000",AAA(RU),ruAAA,,,02.02.2026,02.02.2026,
"Sber CIB, 15.7% 4aug2026, RUB (ЦФА)",,"15,700",,,,,,,,,,,,,,04.08.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,15.7% годовых,,Фиксированная,Процент при погашении,"52 100 479,000000",AAA(RU),ruAAA,,,02.02.2026,02.02.2026,
