Бумага,ISIN,"Текущий купон, %","Индикативная цена, %","Индикативная доходность, %","G-spread, бп",Ликвидность,Уровень ликвидности,"Δ индикатив. цены за 1 день, %","Δ индикатив. цены за 1 неделю, %","Δ индикатив. цены за 1 месяц, %","Δ индикатив. цены за 3 месяца, %","Дюрация, дней",Модифицированная дюрация,Оферта (call),"Срок до погашения, лет",Погашение,Страна,Эмитент,SPV,Сектор,Отрасль,Валюта,Статус,Купон,Периодичность купона,Тип ставки,Вид облигации,Непогаш. ном.,Рейтинг эмитента АКРА,Рейтинг эмитента Эксперт РА,Рейтинг эмитента НКР,Рейтинг эмитента НРА,Начало размещения,Окончание размещения,Дата торгов
"Россия, 26219 (ОФЗ-ПД, SU26219RMFS4)",RU000A0JWM07,"7,750","96,93","14,174","24,46",8,высокая,"0,09","0,09","0,61","1,20","194,04","0,47",,"0,55",16.09.2026,Россия,Россия,,Государственный,,RUB,В обращении,1-21 купоны - 7.75% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,29.06.2016,25.12.2024,27.02.2026
"Россия, 26224 (ОФЗ-ПД, SU26224RMFS4)",RU000A0ZYUA9,"6,900","82,67","14,167","-56,65",8,высокая,"0,15","-0,04","1,70","1,78","1 045,27","2,51",,"3,24",23.05.2029,Россия,Россия,,Государственный,,RUB,В обращении,1-23 купоны - 6.9% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,21.02.2018,31.12.2027,27.02.2026
"Россия, 26226 (ОФЗ-ПД, SU26226RMFS9)",RU000A0ZZYW2,"7,950","96,66","14,296","32,24",8,высокая,"0,07","0,08","0,53","1,08","214,87","0,52",,"0,61",07.10.2026,Россия,Россия,,Государственный,,RUB,В обращении,1-16 купоны - 7.95% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,19.12.2018,25.12.2024,27.02.2026
"Россия, 26228 (ОФЗ-ПД, SU26228RMFS5)",RU000A100A82,"7,650","80,94","14,355","-41,49",8,высокая,"-0,18","-0,28","1,74","1,34","1 249,97","2,99",,"4,12",10.04.2030,Россия,Россия,,Государственный,,RUB,В обращении,1-22 купоны - 7.65% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,24.04.2019,31.12.2027,27.02.2026
"Россия, 26236 (ОФЗ-ПД, SU26236RMFS8)",RU000A102BT8,"5,700","85,09","14,175","-43,84",8,высокая,"0,27","-0,33","1,25","2,06","755,65","1,81",,"2,22",17.05.2028,Россия,Россия,,Государственный,,RUB,В обращении,1-21 купоны - 5.7% годовых.,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,11.11.2020,28.12.2022,27.02.2026
"Россия, 26241 (ОФЗ-ПД, SU26241RMFS8)",RU000A105FZ9,"9,500","80,12","14,673","-8,59",8,высокая,"0,06","-0,58","1,47","0,38","1 739,66","4,16",,"6,73",17.11.2032,Россия,Россия,,Государственный,,RUB,В обращении,1-20 купоны - 9.5% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,16.11.2022,25.12.2024,27.02.2026
"Россия, 26245 (ОФЗ-ПД, SU26245RMFS9)",RU000A108EG6,"12,000","88,42","14,755","2,97",8,высокая,"0,02","-0,58","1,20","-0,43","1 978,61","4,72",,"9,58",26.09.2035,Россия,Россия,,Государственный,,RUB,В обращении,1-23 купоны - 12% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,15.05.2024,31.12.2028,27.02.2026
"Россия, 26246 (ОФЗ-ПД, SU26246RMFS7)",RU000A108EE1,"12,000","88,17","14,755","3,51",8,высокая,"0,06","-0,45","1,25","-0,23","2 011,94","4,80",,"10,04",12.03.2036,Россия,Россия,,Государственный,,RUB,В обращении,1-24 купоны - 12% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,15.05.2024,31.12.2028,27.02.2026
"Россия, 26249 (ОФЗ-ПД, SU26249RMFS1)",RU000A10BVC8,"11,000","87,06","14,663","-10,58",8,высокая,"0,19","-0,21","1,21","1,08","1 636,53","3,91",,"6,30",16.06.2032,Россия,Россия,,Государственный,,RUB,В обращении,1-14 купоны - 11% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,25.06.2025,31.12.2028,27.02.2026
"Россия, 26207 (ОФЗ-ПД, SU26207RMFS9)",RU000A0JS3W6,"8,150","95,58","13,767","-42,08",7,высокая,"0,20","0,24","0,71","1,62","333,72","0,80",,"0,93",03.02.2027,Россия,Россия,,Государственный,,RUB,В обращении,1-30 купоны - 8.15% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,22.02.2012,25.12.2024,27.02.2026
"Россия, 26212 (ОФЗ-ПД, SU26212RMFS9)",RU000A0JTK38,"7,050","89,38","14,049","-49,48",7,высокая,"0,14","-0,15","0,97","2,10","652,25","1,57",,"1,89",19.01.2028,Россия,Россия,,Государственный,,RUB,В обращении,1-20 купоны - 7.05% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,23.01.2013,28.12.2018,27.02.2026
"Россия, 26218 (ОФЗ-ПД, SU26218RMFS6)",RU000A0JVW48,"8,500","78,84","14,614","-16,13",7,высокая,"0,15","-0,35","0,96","0,73","1 532,82","3,66",,"5,56",17.09.2031,Россия,Россия,,Государственный,,RUB,В обращении,1-32 купоны - 8.5% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,28.10.2015,31.12.2028,27.02.2026
"Россия, 26221 (ОФЗ-ПД, SU26221RMFS0)",RU000A0JXFM1,"7,700","71,59","14,695","-5,15",7,высокая,"0,07","-0,50","1,64","1,04","1 841,17","4,40",,"7,07",23.03.2033,Россия,Россия,,Государственный,,RUB,В обращении,1-32 купоны - 7.7% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,15.02.2017,31.12.2027,27.02.2026
"Россия, 26225 (ОФЗ-ПД, SU26225RMFS1)",RU000A0ZYUB7,"7,250","66,86","14,721","1,20",7,высокая,"0,17","-0,38","1,55","0,68","2 068,81","4,94",,"8,20",10.05.2034,Россия,Россия,,Государственный,,RUB,В обращении,1-33 купоны - 7.25% годовых,2,Фиксированная,Купонные,"1 000,000000",Withdrawn,-,,,21.02.2018,31.12.2027,27.02.2026
